Patent ID,IPC
CN102626391,A61P000912
CN102626395,A61K000920
CN102626395,A61K0009127
CN102626395,A61K0031165
CN102626395,A61K003141
CN102626395,A61K004734
CN102626395,A61P000912
CN102631357,A61K0031685
CN102631357,A61K000920
CN102631357,A61K003141
CN102631357,A61K0031549
CN102631357,A61P000116
CN102631357,A61P000310
CN102631357,A61P000912
CN102631370,A61K003560
CN102631370,A23L003300
CN102631370,A61K003159
CN102631370,A61P000306
CN102641280,A61K003164
CN102641280,A61K000920
CN102641280,A61K00314439
CN102641280,A61K0031455
CN102641280,A61P000310
CN102641280,A61P001312
CN102657657,A61K0031549
CN102657657,A61K000948
CN102657657,A61K003141
CN102657657,A61K00314422
CN102657657,A61P000912
CN102670603,A61K00314422
CN102670603,A61K000920
CN102670603,A61K00314184
CN102670603,A61K004736
CN102670603,A61P000910
CN102670603,A61P000912
CN102670604,A61K00314422
CN102670604,A61K000920
CN102670604,A61K000948
CN102670604,A61K00314184
CN102670604,A61K004738
CN102670604,A61P000904
CN102670604,A61P000910
CN102670604,A61P000912
CN102670604,A61P001312
CN102670604,G01N003088
CN102670630,A61K0031685
CN102670630,A61K000916
CN102670630,A61K000948
CN102670630,A61K003141
CN102670630,A61K0031549
CN102670630,A61P000912
CN102688223,A61K000970
CN102688223,A61K004100
CN102688223,A61K004506
CN102688223,A61K004734
CN102688223,A61P003500
CN102688236,A61K00314422
CN102688236,A61K000920
CN102688236,A61K00314184
CN102688236,A61K004734
CN102688236,A61K004738
CN102688236,A61P000912
CN102688245,A61K003155
CN102688245,A61K000916
CN102688245,A61K000920
CN102688245,A61K000928
CN102688245,A61K000948
CN102688245,A61K00314422
CN102688245,A61P000912
CN102697778,A61K00314422
CN102697778,A61K000928
CN102697778,A61K003141
CN102697778,A61P000912
CN102697780,A61K0031455
CN102697780,A61K000952
CN102697780,A61K0031366
CN102697780,A61K004732
CN102697780,A61K004736
CN102697780,A61K004738
CN102697780,A61P000306
CN102716132,A61K0031549
CN102716132,A61K000930
CN102716132,A61K003141
CN102716132,A61K00314422
CN102716132,A61P000912
CN102727459,A61K000936
CN102727459,A61K000922
CN102727459,A61K000932
CN102727459,A61K0031155
CN102727459,A61K00314439
CN102727459,A61K004732
CN102727459,A61K004738
CN102727459,A61P003100
CN102727497,A61K00314965
CN102727497,A61K000920
CN102727497,A61K0031133
CN102727497,A61K00314409
CN102727497,A61K0031496
CN102727497,A61P003106
CN102743361,A61K000952
CN102743361,A61K00314184
CN102743361,A61K0031549
CN102743361,A61K004736
CN102743361,A61P000912
CN102743381,A61K00314422
CN102743381,A61K000920
CN102743381,A61K00314184
CN102743381,A61K004734
CN102743381,A61P000912
CN102764258,A61K00314422
CN102764258,A61K000920
CN102764258,A61K00314184
